50, 34.2, 14.25,
55, 37.2, 14.75,
60, 40.6, 15.5,
65, 43.2, 16.25,
70, 46.4, 16.75,
75, 49.2, 17.25,
80, 51.4, 17.75,
85, 54.2, 18.25,
90, 56.6, 18.5,
95, 59.0, 19.0,
100, 61.6, 19.5,
105, 63.6, 20.0,
110, 66.0, 20.0,
115, 67.8, 20.5,
120, 70.2, 20.75,
125, 72.2, 21.25,
130, 74.0, 21.5,
135, 76.2, 21.75,
140, 78.0, 22.0,
